Partition 2ADFCDFC-B10C-4F1F-8E55-62311742C84D
BFCoverZoneDefinition 7A353C3F-6680-43E0-8A4D-15947FE86686 #primary instance
	$::Asset
		$::DataContainer
		Name AI/Settings/CoverZones_Squad_Out
	Zones::array
		member(0)::BFCoverZone
			FirstAngle 20.0
			SecondAngle 90.0
			CloseDistance 0.0
			FarDistance -1.0
			Peek False
			Over False
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(1)::BFCoverZone
			FirstAngle -70.0
			SecondAngle 0.0
			CloseDistance 0.0
			FarDistance 10.0
			Peek True
			Over False
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(2)::BFCoverZone
			FirstAngle 0.0
			SecondAngle 20.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek False
			Over False
			Out True
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets True
			AllowProjectileFire True
		member(3)::BFCoverZone
			FirstAngle 90.0
			SecondAngle -70.0
			CloseDistance 0.0
			FarDistance 10.0
			Peek True
			Over False
			Out False
			Flanked True
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring True
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(4)::BFCoverZone
			FirstAngle 90.0
			SecondAngle -90.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek True
			Over False
			Out False
			Flanked False
			AlwaysRequestCover True
			RequestCoverIfUnderFire False
			ForceOutFiring True
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(5)::BFCoverZone
			FirstAngle 0.0
			SecondAngle 20.0
			CloseDistance 0.0
			FarDistance 10.0
			Peek False
			Over False
			Out True
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(6)::BFCoverZone
			FirstAngle -50.0
			SecondAngle -20.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek True
			Over False
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
		member(7)::BFCoverZone
			FirstAngle -20.0
			SecondAngle 0.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek True
			Over False
			Out True
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets True
			AllowProjectileFire True
		member(8)::BFCoverZone
			FirstAngle -90.0
			SecondAngle -50.0
			CloseDistance 10.0
			FarDistance -1.0
			Peek True
			Over False
			Out False
			Flanked False
			AlwaysRequestCover False
			RequestCoverIfUnderFire False
			ForceOutFiring False
			TriggerFlanked False
			SuppressedByEnemyBullets False
			AllowProjectileFire True
